Symbol  ,Series  ,Date  ,Prev Close  ,Open Price  ,High Price  ,Low Price  ,Last Price  ,Close Price,Average Price ,Total Traded Quantity  ,Turnover ₹  ,No. of Trades  ,Deliverable Qty  ,% Dly Qt to Traded Qty  
KOTAKNIFTY,EQ,17-Aug-2023,209.1,209.1,209.1,207.8,208,208.41,208.16,23579,"49,08,308.64",351,16583,70.33
KOTAKNIFTY,EQ,18-Aug-2023,208.41,208.41,208.41,206.71,207.3,207.62,207.08,59160,"1,22,50,768.95",394,52002,87.9
KOTAKNIFTY,EQ,21-Aug-2023,207.62,207.62,209.68,207.48,207.52,208.2,208.42,24387,"50,82,744.24",456,11337,46.49
KOTAKNIFTY,EQ,22-Aug-2023,208.2,208.2,208.89,207.5,208.2,207.75,208.29,4912,"10,23,115.55",278,3695,75.22
KOTAKNIFTY,EQ,23-Aug-2023,207.75,209.7,209.7,207.71,208.5,208.64,208.45,3928,"8,18,772.83",204,3107,79.1
KOTAKNIFTY,EQ,24-Aug-2023,208.64,208.64,210.44,207.86,208.29,208.05,209.11,"1,22,788","2,56,76,608.66",367,16695,13.6
KOTAKNIFTY,EQ,25-Aug-2023,208.05,209.75,209.75,206.36,206.59,207.1,207.24,20978,"43,47,420.85",388,13101,62.45
KOTAKNIFTY,EQ,28-Aug-2023,207.1,209,209,206.4,207.11,207.21,207.14,17783,"36,83,588.11",406,10739,60.39
KOTAKNIFTY,EQ,29-Aug-2023,207.21,207.21,208.75,207.14,207.27,207.54,207.29,18455,"38,25,522.64",236,15315,82.99
KOTAKNIFTY,EQ,30-Aug-2023,207.54,209.5,209.5,207.55,207.89,207.85,208.35,10036,"20,91,011.91",259,7819,77.91
KOTAKNIFTY,EQ,31-Aug-2023,207.85,208,208.2,206.7,206.75,207.09,207.24,19479,"40,36,763.15",455,11812,60.64
KOTAKNIFTY,EQ,01-Sep-2023,207.09,207.08,208.69,205.56,208.2,208.54,208.02,13786,"28,67,724.99",319,12039,87.33
