Symbol  ,Date,Open,High,Low,Close,Volume
KOTAKNIFTY,03-Aug-2023,211.45,211.45,207.4,208.11,47858
KOTAKNIFTY,04-Aug-2023,209.89,209.89,208.1,209.58,19137
KOTAKNIFTY,07-Aug-2023,209.58,210.48,208.98,209.9,17207
KOTAKNIFTY,08-Aug-2023,210.42,210.5,209.22,209.86,5253
KOTAKNIFTY,09-Aug-2023,210,211.79,208.36,210.08,22218
KOTAKNIFTY,10-Aug-2023,211.75,211.75,208.66,209.97,13130
KOTAKNIFTY,11-Aug-2023,211.35,211.35,208.67,208.89,15222
KOTAKNIFTY,14-Aug-2023,208.32,209.04,206.71,208.79,22351
KOTAKNIFTY,16-Aug-2023,208,209.32,207.5,209.1,19402
KOTAKNIFTY,17-Aug-2023,209.1,209.1,207.8,208.41,23579
KOTAKNIFTY,18-Aug-2023,208.41,208.41,206.71,207.62,59160
KOTAKNIFTY,21-Aug-2023,207.62,209.68,207.48,208.2,24387
KOTAKNIFTY,22-Aug-2023,208.2,208.89,207.5,207.75,4912
KOTAKNIFTY,23-Aug-2023,209.7,209.7,207.71,208.64,3928
KOTAKNIFTY,24-Aug-2023,208.64,210.44,207.86,208.05,122788
KOTAKNIFTY,25-Aug-2023,209.75,209.75,206.36,207.1,20978
KOTAKNIFTY,28-Aug-2023,209,209,206.4,207.21,17783
KOTAKNIFTY,29-Aug-2023,207.21,208.75,207.14,207.54,18455
KOTAKNIFTY,30-Aug-2023,209.5,209.5,207.55,207.85,10036
KOTAKNIFTY,31-Aug-2023,208,208.2,206.7,207.09,19479
KOTAKNIFTY,01-Sep-2023,207.08,208.69,205.56,208.54,13786
KOTAKNIFTY,04-Sep-2023,208.54,209.5,208.28,209.34,11096
KOTAKNIFTY,05-Sep-2023,210.2,210.2,209.35,209.72,13739
KOTAKNIFTY,06-Sep-2023,210.75,210.77,208.66,210.18,20038
KOTAKNIFTY,07-Sep-2023,210.18,212.18,209.6,211.23,35164
KOTAKNIFTY,08-Sep-2023,213.25,213.25,211.23,212.46,28092
KOTAKNIFTY,11-Sep-2023,212.46,214.49,212.46,214.27,34964
KOTAKNIFTY,12-Sep-2023,215.99,215.99,213.3,214.02,62378
KOTAKNIFTY,13-Sep-2023,214.1,215.49,213.95,214.98,26538
KOTAKNIFTY,14-Sep-2023,214.98,216.25,214.61,215.28,42365
KOTAKNIFTY,15-Sep-2023,216.08,216.6,215.82,216.44,26938
KOTAKNIFTY,18-Sep-2023,216.44,218.4,215.85,216.19,57547
KOTAKNIFTY,20-Sep-2023,216.18,216.18,213.54,214.17,19060
KOTAKNIFTY,21-Sep-2023,213.67,213.67,212,212.54,40068
KOTAKNIFTY,22-Sep-2023,212.54,214.44,211.23,211.63,27445
KOTAKNIFTY,25-Sep-2023,213.67,213.67,210.6,211.05,14975
KOTAKNIFTY,26-Sep-2023,211.65,211.91,211.01,211.52,17833
KOTAKNIFTY,27-Sep-2023,213.24,213.24,210.11,211.79,53693
KOTAKNIFTY,28-Sep-2023,213.44,213.44,209.6,209.9,13599
KOTAKNIFTY,29-Sep-2023,209.9,215,209.77,211.51,9898
KOTAKNIFTY,03-Oct-2023,211.5,211.5,209.08,209.91,31448
KOTAKNIFTY,04-Oct-2023,209,211.4,208,209.03,41842
KOTAKNIFTY,05-Oct-2023,211,211,209.33,210,37966
KOTAKNIFTY,06-Oct-2023,210.01,211.28,210.01,211.04,20815
KOTAKNIFTY,09-Oct-2023,212.39,213,209,210.59,51137
KOTAKNIFTY,10-Oct-2023,210.58,212.7,210.25,211.81,10929
KOTAKNIFTY,11-Oct-2023,213.8,214.25,210.25,213.46,31859
KOTAKNIFTY,12-Oct-2023,216.25,216.25,212.51,212.98,20166
KOTAKNIFTY,13-Oct-2023,211.83,213,211.23,212.27,15186
KOTAKNIFTY,16-Oct-2023,212.27,214,211.65,211.96,30886
KOTAKNIFTY,17-Oct-2023,213.74,213.75,211.97,212.42,11266
KOTAKNIFTY,18-Oct-2023,212.15,213.1,211,211.3,36101
KOTAKNIFTY,19-Oct-2023,211,211.1,209.61,210.75,10390
KOTAKNIFTY,20-Oct-2023,210.01,210.22,209.39,209.78,14619
KOTAKNIFTY,23-Oct-2023,209.77,210,207.09,207.53,31683
KOTAKNIFTY,25-Oct-2023,209.44,209.6,205.41,206.44,156593
KOTAKNIFTY,26-Oct-2023,205.91,205.91,202.89,203.25,90122
KOTAKNIFTY,27-Oct-2023,205.4,205.7,203.26,205.14,22038
KOTAKNIFTY,30-Oct-2023,205.14,207.45,204.1,205.81,36666
KOTAKNIFTY,31-Oct-2023,206.99,206.99,205.04,205.34,22314
KOTAKNIFTY,01-Nov-2023,205.61,206.25,204.28,204.47,22049
KOTAKNIFTY,02-Nov-2023,204.46,206.8,204.46,206.42,15257
KOTAKNIFTY,03-Nov-2023,207.04,207.83,206.65,206.94,11212
KOTAKNIFTY,06-Nov-2023,206.94,209.37,206.94,209.03,18237
KOTAKNIFTY,07-Nov-2023,208.65,209.32,208.25,209.15,22014
KOTAKNIFTY,08-Nov-2023,209,209.64,208.61,209.06,11539
KOTAKNIFTY,09-Nov-2023,210.74,210.74,207.34,208.81,7131
KOTAKNIFTY,10-Nov-2023,208.96,209.54,207.56,209.27,8403
KOTAKNIFTY,12-Nov-2023,209.27,211.7,209.27,210.31,28983
KOTAKNIFTY,13-Nov-2023,210.06,210.06,208.78,209.67,13652
KOTAKNIFTY,15-Nov-2023,211.89,211.89,210,211.23,67500
KOTAKNIFTY,16-Nov-2023,211.3,213.49,211,212.77,74666
KOTAKNIFTY,17-Nov-2023,214.4,214.4,211.74,212.22,12228
KOTAKNIFTY,20-Nov-2023,212.21,212.48,211.25,212.15,13706
KOTAKNIFTY,21-Nov-2023,212,213.49,212,212.57,8032
KOTAKNIFTY,22-Nov-2023,212.57,213.4,211.94,212.97,7041
KOTAKNIFTY,23-Nov-2023,212.97,214.75,212.55,212.81,6237
KOTAKNIFTY,24-Nov-2023,212.74,213.53,212.31,212.87,52681
KOTAKNIFTY,28-Nov-2023,212.87,213.99,212.52,213.53,61005
KOTAKNIFTY,29-Nov-2023,213.53,216,213.53,215.67,39592
KOTAKNIFTY,30-Nov-2023,215.67,216.59,215.11,216.15,13695
KOTAKNIFTY,01-Dec-2023,218.5,218.5,214.1,217.54,30411
KOTAKNIFTY,04-Dec-2023,218.1,222.45,218.1,221.99,42654
KOTAKNIFTY,05-Dec-2023,224,224,222.01,223.77,28004
KOTAKNIFTY,06-Dec-2023,225.5,226.45,223.75,224.43,20058
KOTAKNIFTY,07-Dec-2023,224.43,225,224.03,224.84,16740
KOTAKNIFTY,08-Dec-2023,224.84,226.49,223.56,225.77,17021
KOTAKNIFTY,11-Dec-2023,225.69,226.68,224.04,225.42,37245
KOTAKNIFTY,12-Dec-2023,225.87,226.37,224.11,224.77,15948
KOTAKNIFTY,13-Dec-2023,224.77,225.19,223.12,224.49,17359
KOTAKNIFTY,14-Dec-2023,224.55,227.98,224.55,227.53,23617
KOTAKNIFTY,15-Dec-2023,227.53,231.21,227.53,230.28,25741
KOTAKNIFTY,18-Dec-2023,230.28,231.14,229.46,230.6,36757
KOTAKNIFTY,19-Dec-2023,230.6,231.55,229.29,230.62,9733
KOTAKNIFTY,20-Dec-2023,230.62,232.41,227.2,227.57,31802
KOTAKNIFTY,21-Dec-2023,229.6,229.6,225,228.41,28509
KOTAKNIFTY,22-Dec-2023,230.45,230.45,228.14,229.17,19031
KOTAKNIFTY,26-Dec-2023,231,231,229.17,230.33,24411
KOTAKNIFTY,27-Dec-2023,230.32,232.7,229.56,232.36,48081
KOTAKNIFTY,28-Dec-2023,234.4,234.4,232.77,233.72,20545
KOTAKNIFTY,29-Dec-2023,233,234.25,232,233.55,34844
KOTAKNIFTY,01-Jan-2024,233.55,235.29,232.73,233.77,21007
KOTAKNIFTY,02-Jan-2024,233.77,233.77,231.3,232.77,47285
KOTAKNIFTY,03-Jan-2024,232.77,232.77,230,231.56,16058
KOTAKNIFTY,04-Jan-2024,231.56,233.5,230,232.75,23171
KOTAKNIFTY,05-Jan-2024,232.75,233.94,232.3,233.44,8217
KOTAKNIFTY,08-Jan-2024,235.37,235.37,231.08,231.43,28662
KOTAKNIFTY,09-Jan-2024,231.43,233.49,231.3,231.66,20070
KOTAKNIFTY,10-Jan-2024,223.45,232.69,223.45,232.34,79464
KOTAKNIFTY,11-Jan-2024,233.23,233.5,232.22,232.48,18179
KOTAKNIFTY,12-Jan-2024,233.99,235.5,232.49,235.02,23726
KOTAKNIFTY,15-Jan-2024,234.5,237.63,233.55,237.35,25977
KOTAKNIFTY,16-Jan-2024,239.8,239.8,236.02,236.75,8179
KOTAKNIFTY,17-Jan-2024,235.13,235.54,231.73,232.1,79474
KOTAKNIFTY,18-Jan-2024,233.75,234.9,229.26,231.57,54094
KOTAKNIFTY,19-Jan-2024,231.57,233.34,231.57,232.77,8110
KOTAKNIFTY,20-Jan-2024,233.26,233.99,232.2,232.58,11669
KOTAKNIFTY,23-Jan-2024,232.58,235,227.74,228.96,74218
KOTAKNIFTY,24-Jan-2024,228.96,232.9,228,231.14,17940
KOTAKNIFTY,25-Jan-2024,231.15,231.15,228.8,230.29,22971
KOTAKNIFTY,29-Jan-2024,230.29,234.28,230.29,233.49,24159
KOTAKNIFTY,30-Jan-2024,233.49,235.98,231.5,231.94,7817
KOTAKNIFTY,31-Jan-2024,231.94,234.18,231.13,233.66,19471
KOTAKNIFTY,01-Feb-2024,233.61,234.9,233.21,233.64,38541
KOTAKNIFTY,02-Feb-2024,233.64,237.7,233.64,235.02,22978
KOTAKNIFTY,05-Feb-2024,235.02,236.6,233.54,234.09,19090
KOTAKNIFTY,06-Feb-2024,234.26,236.3,234.01,235.7,11615
KOTAKNIFTY,07-Feb-2024,238.8,239.6,235.26,236.27,16560
KOTAKNIFTY,08-Feb-2024,236.27,237.42,233.58,234.47,42311
KOTAKNIFTY,09-Feb-2024,234.47,235,232.03,234.76,12910
KOTAKNIFTY,12-Feb-2024,234.76,235.19,232.61,233.21,59660
KOTAKNIFTY,13-Feb-2024,233.2,234.97,231.56,234.31,12352
KOTAKNIFTY,14-Feb-2024,233.5,235.81,232.39,235.39,30504
KOTAKNIFTY,15-Feb-2024,235.39,237.39,234.93,236.01,19748
KOTAKNIFTY,16-Feb-2024,236.01,238,235.03,237.16,34097
KOTAKNIFTY,19-Feb-2024,237.16,239.63,236.77,238.64,47671
KOTAKNIFTY,20-Feb-2024,240.39,240.4,237.37,239.03,14894
KOTAKNIFTY,21-Feb-2024,239.03,239.65,237,237.5,38196
KOTAKNIFTY,22-Feb-2024,237.5,239.49,236.1,239.09,45119
KOTAKNIFTY,23-Feb-2024,239.09,240.25,238.72,239.05,5596
KOTAKNIFTY,26-Feb-2024,239.05,239.05,237.8,238.53,21048
KOTAKNIFTY,27-Feb-2024,238.41,239.27,238,238.92,7292
KOTAKNIFTY,28-Feb-2024,239.37,239.37,236.07,236.48,19495
KOTAKNIFTY,29-Feb-2024,236.04,237.89,235.5,236.92,25347
KOTAKNIFTY,01-Mar-2024,244.05,244.05,236.92,240.18,19397
KOTAKNIFTY,02-Mar-2024,240.18,241.34,240.18,240.52,3063
KOTAKNIFTY,04-Mar-2024,240.52,241.58,240.52,241.08,20831
KOTAKNIFTY,05-Mar-2024,241.08,241.36,240.01,240.69,10854
KOTAKNIFTY,06-Mar-2024,240.58,242.26,239.52,242.11,13703
KOTAKNIFTY,07-Mar-2024,242.11,242.66,241.43,242,20185
KOTAKNIFTY,11-Mar-2024,242.15,244.75,240.17,240.58,11864
KOTAKNIFTY,12-Mar-2024,240.78,242.16,239.97,240.49,18817
KOTAKNIFTY,13-Mar-2024,240.49,242.25,236.26,237.02,164666
KOTAKNIFTY,14-Mar-2024,237,239.45,236.48,238.68,27469
KOTAKNIFTY,15-Mar-2024,238.68,238.68,236.06,237.45,31917
KOTAKNIFTY,18-Mar-2024,237.45,238.44,236.5,237.38,23305
KOTAKNIFTY,19-Mar-2024,237.38,241.1,235,235.18,32634
NIFTY1,20-Mar-2024,239.2,239.2,234.08,235.05,15947
NIFTY1,21-Mar-2024,235.25,240,235.25,237.36,70994
NIFTY1,22-Mar-2024,236.38,238.99,235.88,238.1,15074
NIFTY1,26-Mar-2024,237.47,238.1,236.9,237.16,16694
NIFTY1,27-Mar-2024,237.65,239.09,237.01,238.53,36687
NIFTY1,28-Mar-2024,238.53,242,238.53,240.56,22784
NIFTY1,01-Apr-2024,240.56,242.4,240.56,241.75,20744
